#                       1.000e-06 2.000e-04 1.000e-04 2.000e-03 1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
201    47.771754425873 -1.563e-03  2.112e-01  6.643e-01  4.270e-04* 1.131e-03*
202    47.768702949036 -3.051e-03  3.078e-01  1.055e+00  1.147e-03  3.231e-03 
203    47.765605231325 -3.098e-03  2.297e-01  5.486e-01  7.505e-04* 2.180e-03 
204    47.764255347328 -1.350e-03  4.233e-01  9.891e-01  9.585e-04* 2.838e-03 
205    47.760684895635 -3.570e-03  1.412e-01  2.575e-01  5.242e-04* 1.261e-03*
206    47.760679505964 -5.390e-06  1.549e-01  2.922e-01  2.217e-05* 5.448e-05*
207    47.759392633483 -1.287e-03  1.447e-01  4.558e-01  4.525e-04* 1.110e-03*
208    47.758105218589 -1.287e-03  2.092e-01  5.849e-01  8.612e-04* 2.154e-03 
209    47.756487832399 -1.617e-03  1.826e-01  6.152e-01  5.120e-04* 1.357e-03*
210    47.755322198560 -1.166e-03  1.922e-01  4.557e-01  6.628e-04* 1.942e-03*
211    47.754179582618 -1.143e-03  1.800e-01  2.454e-01  3.938e-04* 1.135e-03*
212    47.753071626536 -1.108e-03  1.269e-01  3.317e-01  4.996e-04* 1.383e-03*
213    47.752709590623 -3.620e-04  1.327e-01  5.756e-01  2.575e-04* 7.054e-04*
214    47.751865025761 -8.446e-04  1.274e-01  3.404e-01  4.507e-04* 1.210e-03*
215    47.751236246702 -6.288e-04  1.292e-01  2.415e-01  4.331e-04* 1.151e-03*
216    47.750483354324 -7.529e-04  1.389e-01  3.436e-01  5.177e-04* 1.252e-03*
217    47.749763863136 -7.195e-04  1.074e-01  2.400e-01  4.780e-04* 1.126e-03*
218    47.749447524752 -3.163e-04  1.344e-01  3.237e-01  4.316e-04* 1.144e-03*
219    47.748855251696 -5.923e-04  1.040e-01  2.563e-01  3.263e-04* 9.186e-04*
220    47.748616823741 -2.384e-04  1.095e-01  2.441e-01  2.828e-04* 8.238e-04*
221    47.748367503638 -2.493e-04  6.448e-02  1.653e-01  1.359e-04* 3.517e-04*
222    47.748320052245 -4.745e-05  8.196e-02  1.714e-01  7.997e-05* 2.181e-04*
223    47.748176098112 -1.440e-04  3.479e-02  8.796e-02  8.594e-05* 1.994e-04*
224    47.748173126459 -2.972e-06  4.175e-02  1.230e-01  1.497e-05* 3.788e-05*
225    47.748118458812 -5.467e-05  3.263e-02  1.064e-01  6.270e-05* 1.529e-04*
226    47.748075411674 -4.305e-05  6.372e-02  1.730e-01  1.133e-04* 2.983e-04*
227    47.747973040835 -1.024e-04  3.124e-02  9.167e-02  7.566e-05* 1.880e-04*
228    47.747970371071 -2.670e-06  3.946e-02  1.116e-01  1.574e-05* 3.808e-05*
229    47.747924633797 -4.574e-05  3.269e-02  6.477e-02  5.795e-05* 1.503e-04*
230    47.747869575603 -5.506e-05  7.182e-02  2.031e-01  1.480e-04* 4.274e-04*
231    47.747772391487 -9.718e-05  2.388e-02  8.148e-02  6.314e-05* 1.529e-04*
232    47.747772120738 -2.707e-07* 2.729e-02  9.706e-02  4.220e-06* 1.013e-05*
233    47.747716285031 -5.584e-05  4.122e-02  7.840e-02  1.108e-04* 3.075e-04*
234    47.747653440288 -6.284e-05  3.531e-02  7.384e-02  8.353e-05* 2.067e-04*
235    47.747597471953 -5.597e-05  5.816e-02  1.646e-01  1.591e-04* 4.116e-04*
236    47.747507857932 -8.961e-05  3.489e-02  9.555e-02  8.566e-05* 2.143e-04*
237    47.747497918180 -9.940e-06  4.539e-02  1.224e-01  3.950e-05* 1.077e-04*
238    47.747454857336 -4.306e-05  2.531e-02  5.557e-02  4.827e-05* 1.179e-04*
239    47.747450536179 -4.321e-06  3.484e-02  7.190e-02  2.131e-05* 5.603e-05*
240    47.747419050122 -3.149e-05  1.994e-02  4.313e-02  4.503e-05* 1.019e-04*
241    47.747416754123 -2.296e-06  2.947e-02  7.408e-02  1.793e-05* 4.585e-05*
242    47.747381603111 -3.515e-05  2.661e-02  9.149e-02  6.295e-05* 1.617e-04*
243    47.747338138670 -4.346e-05  5.183e-02  1.297e-01  1.652e-04* 4.521e-04*
244    47.747269127387 -6.901e-05  2.524e-02  7.480e-02  7.143e-05* 1.601e-04*
245    47.747266998927 -2.128e-06  3.108e-02  9.096e-02  1.598e-05* 3.881e-05*
246    47.747246141785 -2.086e-05  1.900e-02  4.408e-02  3.501e-05* 8.525e-05*
247    47.747242772146 -3.370e-06  2.811e-02  7.036e-02  2.102e-05* 5.628e-05*
248    47.747221738748 -2.103e-05  1.597e-02  3.353e-02  3.691e-05* 8.506e-05*
249    47.747220278798 -1.460e-06  2.394e-02  6.155e-02  1.463e-05* 3.733e-05*
250    47.747197801093 -2.248e-05  2.150e-02  8.907e-02  5.151e-05* 1.296e-04*
251    47.747170889564 -2.691e-05  4.205e-02  1.077e-01  1.334e-04* 3.627e-04*
252    47.747128564102 -4.233e-05  2.139e-02  7.396e-02  5.496e-05* 1.274e-04*
253    47.747127144661 -1.419e-06  2.614e-02  8.185e-02  1.264e-05* 3.143e-05*
254    47.747113421368 -1.372e-05  1.329e-02  2.427e-02  2.631e-05* 6.105e-05*
255    47.747112826953 -5.944e-07* 1.733e-02  3.750e-02  7.146e-06* 1.851e-05*
256    47.747102095400 -1.073e-05  1.361e-02  3.272e-02  3.032e-05* 7.297e-05*
257    47.747094699246 -7.396e-06  2.971e-02  8.761e-02  5.714e-05* 1.527e-04*
258    47.747074433768 -2.027e-05  1.339e-02  5.265e-02  3.291e-05* 7.238e-05*
259    47.747074155970 -2.778e-07* 1.597e-02  6.088e-02  4.602e-06* 1.100e-05*
260    47.747067730937 -6.425e-06  1.148e-02  2.609e-02  1.951e-05* 4.574e-05*
261    47.747064604559 -3.126e-06  2.265e-02  6.342e-02  2.650e-05* 7.157e-05*
262    47.747053314966 -1.129e-05  9.858e-03  2.980e-02  2.386e-05* 5.259e-05*
263    47.747053231533 -8.343e-08* 1.187e-02  3.936e-02  2.484e-06* 5.949e-06*
264    47.747044041330 -9.190e-06  1.812e-02  6.968e-02  4.156e-05* 1.094e-04*
265    47.747032086752 -1.195e-05  1.490e-02  4.752e-02  4.017e-05* 1.042e-04*
266    47.747020985964 -1.110e-05  3.814e-02  1.309e-01  1.061e-04* 2.960e-04*
267    47.746997155476 -2.383e-05  9.383e-03  2.520e-02  3.248e-05* 7.706e-05*
268    47.746997150292 -5.185e-09* 9.674e-03  2.608e-02  3.596e-07* 8.209e-07*
269    47.746994354526 -2.796e-06  6.840e-03  1.769e-02  1.191e-05* 2.610e-05*
270    47.746993155180 -1.199e-06  1.412e-02  3.795e-02  1.649e-05* 4.413e-05*
271    47.746988179433 -4.976e-06  8.624e-03  2.890e-02  1.625e-05* 3.685e-05*
272    47.746987710522 -4.689e-07* 1.247e-02  3.474e-02  7.585e-06* 1.946e-05*
273    47.746983974674 -3.736e-06  8.118e-03  1.594e-02  1.463e-05* 3.426e-05*
274    47.746983214776 -7.599e-07* 1.408e-02  3.764e-02  1.144e-05* 3.011e-05*
275    47.746978210400 -5.004e-06  7.531e-03  1.929e-02  1.798e-05* 4.382e-05*
276    47.746978049513 -1.609e-07* 1.066e-02  3.092e-02  4.626e-06* 1.219e-05*
277    47.746972327828 -5.722e-06  1.199e-02  3.396e-02  3.161e-05* 8.355e-05*
278    47.746953905397 -1.842e-05  2.361e-02  6.380e-02  1.430e-04* 3.973e-04*
279    47.746941412030 -1.249e-05  9.604e-03  3.245e-02  3.977e-05* 1.046e-04*
280    47.746941362053 -4.998e-08* 1.105e-02  3.764e-02  2.962e-06* 7.937e-06*
281    47.746937997160 -3.365e-06  6.742e-03  1.301e-02  2.021e-05* 5.147e-05*
282    47.746937606050 -3.911e-07* 1.089e-02  2.701e-02  1.094e-05* 2.959e-05*
283    47.746933877654 -3.728e-06  6.435e-03  1.317e-02  2.170e-05* 5.667e-05*
284    47.746933654822 -2.228e-07* 9.669e-03  2.242e-02  8.072e-06* 2.174e-05*
285    47.746930791383 -2.863e-06  7.168e-03  2.018e-02  1.977e-05* 5.152e-05*
286    47.746929826529 -9.649e-07* 1.259e-02  4.098e-02  2.147e-05* 5.807e-05*
287    47.746926814319 -3.012e-06  5.163e-03  1.797e-02  1.421e-05* 3.454e-05*
288    47.746926789017 -2.530e-08* 6.139e-03  2.176e-02  1.542e-06* 3.927e-06*
289    47.746925239659 -1.549e-06  4.473e-03  7.582e-03  1.441e-05* 3.838e-05*
290    47.746924657670 -5.820e-07* 9.129e-03  1.575e-02  1.822e-05* 5.218e-05*
