#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\butane_lowT.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\butane.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\butane.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\butane.xyz
# RANDOMSEED 2661654898
# TEMPERATURE 150.000000 K
# BOUNDARY 17.260000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYCONF 4
# GEOMCONF 50
# TOTALCONF 40000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
    316  4.45115e+00  4.769e-01  3.974e+00  0.000e+00 -7.293e-03  4.842e-01  9.555e-01  2.012e+00  1.006e+00  0.000e+00
    320  4.07996e+00  4.731e-01  3.607e+00  0.000e+00 -1.013e-02  4.832e-01  8.192e-01  1.809e+00  9.787e-01  0.000e+00
    324  3.94971e+00  4.622e-01  3.487e+00  0.000e+00 -1.842e-02  4.807e-01  1.294e+00  1.226e+00  9.682e-01  0.000e+00
    328  4.48055e+00  4.631e-01  4.017e+00  0.000e+00 -1.744e-02  4.805e-01  1.784e+00  1.179e+00  1.055e+00  0.000e+00
    332  3.92193e+00  4.662e-01  3.456e+00  0.000e+00 -1.484e-02  4.810e-01  1.302e+00  1.187e+00  9.667e-01  0.000e+00
    336  3.24986e+00  4.793e-01  2.771e+00  0.000e+00 -4.268e-03  4.836e-01  6.918e-01  1.088e+00  9.910e-01  0.000e+00
    340  3.20435e+00  4.842e-01  2.720e+00  0.000e+00 -2.409e-04  4.845e-01  6.515e-01  1.066e+00  1.003e+00  0.000e+00
    344  3.52898e+00  4.972e-01  3.032e+00  0.000e+00  1.073e-02  4.865e-01  6.453e-01  1.375e+00  1.012e+00  0.000e+00
    348  3.31677e+00  5.046e-01  2.812e+00  0.000e+00  1.765e-02  4.869e-01  5.882e-01  1.281e+00  9.428e-01  0.000e+00
    352  3.57121e+00  5.180e-01  3.053e+00  0.000e+00  2.945e-02  4.885e-01  6.541e-01  1.378e+00  1.021e+00  0.000e+00
    356  3.83094e+00  5.176e-01  3.313e+00  0.000e+00  2.846e-02  4.892e-01  1.267e+00  1.067e+00  9.792e-01  0.000e+00
    360  4.36517e+00  5.184e-01  3.847e+00  0.000e+00  2.887e-02  4.895e-01  9.692e-01  1.817e+00  1.061e+00  0.000e+00
    364  4.45190e+00  5.083e-01  3.944e+00  0.000e+00  2.114e-02  4.872e-01  1.425e+00  1.439e+00  1.080e+00  0.000e+00
    368  4.22824e+00  5.059e-01  3.722e+00  0.000e+00  1.935e-02  4.865e-01  1.370e+00  1.292e+00  1.061e+00  0.000e+00
    372  4.97754e+00  4.983e-01  4.479e+00  0.000e+00  1.303e-02  4.853e-01  1.606e+00  1.827e+00  1.047e+00  0.000e+00
    376  4.67316e+00  4.958e-01  4.177e+00  0.000e+00  1.037e-02  4.854e-01  1.325e+00  1.791e+00  1.062e+00  0.000e+00
    380  4.45928e+00  4.851e-01  3.974e+00  0.000e+00  1.083e-03  4.840e-01  1.437e+00  1.466e+00  1.072e+00  0.000e+00
    384  4.07957e+00  4.901e-01  3.589e+00  0.000e+00  5.210e-03  4.849e-01  7.794e-01  1.731e+00  1.079e+00  0.000e+00
    388  4.68774e+00  4.886e-01  4.199e+00  0.000e+00  3.796e-03  4.848e-01  1.610e+00  1.484e+00  1.105e+00  0.000e+00
    392  4.71242e+00  4.854e-01  4.227e+00  0.000e+00  1.138e-03  4.843e-01  1.524e+00  1.587e+00  1.115e+00  0.000e+00
    396  4.80995e+00  4.996e-01  4.310e+00  0.000e+00  1.316e-02  4.865e-01  1.565e+00  1.650e+00  1.095e+00  0.000e+00
    400  4.22449e+00  5.013e-01  3.723e+00  0.000e+00  1.575e-02  4.856e-01  1.500e+00  1.180e+00  1.044e+00  0.000e+00
    404  4.76207e+00  4.995e-01  4.263e+00  0.000e+00  1.441e-02  4.851e-01  2.242e+00  1.035e+00  9.861e-01  0.000e+00
    408  4.50075e+00  4.980e-01  4.003e+00  0.000e+00  1.326e-02  4.848e-01  1.737e+00  1.266e+00  9.991e-01  0.000e+00
    412  4.02627e+00  4.843e-01  3.542e+00  0.000e+00  8.935e-04  4.834e-01  1.457e+00  1.069e+00  1.016e+00  0.000e+00
    416  3.92570e+00  4.959e-01  3.430e+00  0.000e+00  1.101e-02  4.849e-01  1.448e+00  9.970e-01  9.848e-01  0.000e+00
    420  3.93439e+00  5.048e-01  3.430e+00  0.000e+00  1.854e-02  4.862e-01  1.083e+00  1.333e+00  1.014e+00  0.000e+00
    424  3.61392e+00  5.099e-01  3.104e+00  0.000e+00  2.248e-02  4.874e-01  1.020e+00  1.067e+00  1.017e+00  0.000e+00
    428  3.17746e+00  4.904e-01  2.687e+00  0.000e+00  5.838e-03  4.846e-01  7.774e-01  9.159e-01  9.937e-01  0.000e+00
    432  3.35746e+00  4.961e-01  2.861e+00  0.000e+00  9.599e-03  4.865e-01  5.140e-01  1.357e+00  9.901e-01  0.000e+00
    436  4.28149e+00  4.872e-01  3.794e+00  0.000e+00  1.051e-03  4.861e-01  1.291e+00  1.462e+00  1.041e+00  0.000e+00
    440  4.29314e+00  4.842e-01  3.809e+00  0.000e+00 -1.975e-03  4.862e-01  1.661e+00  1.195e+00  9.529e-01  0.000e+00
    444  4.12358e+00  4.940e-01  3.630e+00  0.000e+00  7.573e-03  4.865e-01  1.867e+00  8.486e-01  9.137e-01  0.000e+00
    448  3.72854e+00  5.055e-01  3.223e+00  0.000e+00  1.742e-02  4.880e-01  1.425e+00  8.729e-01  9.254e-01  0.000e+00
    452  4.76214e+00  5.205e-01  4.242e+00  0.000e+00  3.132e-02  4.892e-01  2.000e+00  1.342e+00  8.995e-01  0.000e+00
    456  4.26165e+00  5.187e-01  3.743e+00  0.000e+00  3.021e-02  4.884e-01  1.858e+00  1.001e+00  8.844e-01  0.000e+00
    460  3.77358e+00  5.223e-01  3.251e+00  0.000e+00  3.246e-02  4.899e-01  1.230e+00  1.127e+00  8.943e-01  0.000e+00
    464  3.51060e+00  5.168e-01  2.994e+00  0.000e+00  2.705e-02  4.898e-01  1.191e+00  8.203e-01  9.829e-01  0.000e+00
    468  3.82472e+00  5.030e-01  3.322e+00  0.000e+00  1.501e-02  4.880e-01  1.490e+00  8.576e-01  9.738e-01  0.000e+00
    472  3.75579e+00  5.034e-01  3.252e+00  0.000e+00  1.519e-02  4.882e-01  1.261e+00  1.015e+00  9.768e-01  0.000e+00
    476  4.04042e+00  4.963e-01  3.544e+00  0.000e+00  9.585e-03  4.867e-01  1.529e+00  1.020e+00  9.952e-01  0.000e+00
    480  4.58211e+00  4.816e-01  4.101e+00  0.000e+00 -3.784e-03  4.854e-01  1.648e+00  1.439e+00  1.014e+00  0.000e+00
    484  4.33972e+00  4.777e-01  3.862e+00  0.000e+00 -7.425e-03  4.851e-01  1.569e+00  1.319e+00  9.738e-01  0.000e+00
    488  4.14742e+00  4.684e-01  3.679e+00  0.000e+00 -1.654e-02  4.849e-01  1.060e+00  1.609e+00  1.010e+00  0.000e+00
    492  3.63332e+00  4.632e-01  3.170e+00  0.000e+00 -2.067e-02  4.838e-01  6.713e-01  1.507e+00  9.916e-01  0.000e+00
    496  4.07734e+00  4.504e-01  3.627e+00  0.000e+00 -3.078e-02  4.811e-01  1.371e+00  1.307e+00  9.483e-01  0.000e+00
    500  4.52274e+00  4.458e-01  4.077e+00  0.000e+00 -3.425e-02  4.801e-01  1.444e+00  1.672e+00  9.611e-01  0.000e+00
    504  4.68293e+00  4.502e-01  4.233e+00  0.000e+00 -3.122e-02  4.814e-01  1.618e+00  1.657e+00  9.580e-01  0.000e+00
    508  4.21743e+00  4.451e-01  3.772e+00  0.000e+00 -3.514e-02  4.802e-01  1.152e+00  1.636e+00  9.837e-01  0.000e+00
    512  4.14701e+00  4.496e-01  3.697e+00  0.000e+00 -3.152e-02  4.812e-01  1.265e+00  1.474e+00  9.583e-01  0.000e+00
    516  3.97568e+00  4.697e-01  3.506e+00  0.000e+00 -1.481e-02  4.845e-01  8.303e-01  1.694e+00  9.815e-01  0.000e+00
    520  4.70726e+00  4.684e-01  4.239e+00  0.000e+00 -1.621e-02  4.846e-01  9.174e-01  2.357e+00  9.644e-01  0.000e+00
    524  5.23705e+00  4.709e-01  4.766e+00  0.000e+00 -1.411e-02  4.850e-01  1.197e+00  2.602e+00  9.668e-01  0.000e+00
    528  4.86607e+00  4.605e-01  4.406e+00  0.000e+00 -2.399e-02  4.845e-01  6.704e-01  2.757e+00  9.784e-01  0.000e+00
    532  4.61682e+00  4.694e-01  4.147e+00  0.000e+00 -1.661e-02  4.860e-01  8.869e-01  2.252e+00  1.009e+00  0.000e+00
    536  4.37318e+00  4.616e-01  3.912e+00  0.000e+00 -2.372e-02  4.853e-01  8.259e-01  2.051e+00  1.035e+00  0.000e+00
    540  4.98992e+00  4.698e-01  4.520e+00  0.000e+00 -1.669e-02  4.865e-01  1.054e+00  2.347e+00  1.120e+00  0.000e+00
    544  5.06640e+00  4.826e-01  4.584e+00  0.000e+00 -5.565e-03  4.882e-01  1.490e+00  2.050e+00  1.044e+00  0.000e+00
    548  5.93863e+00  4.893e-01  5.449e+00  0.000e+00 -2.374e-04  4.895e-01  2.149e+00  2.225e+00  1.075e+00  0.000e+00
    552  6.00093e+00  4.829e-01  5.518e+00  0.000e+00 -5.509e-03  4.885e-01  2.220e+00  2.175e+00  1.123e+00  0.000e+00
    556  5.43999e+00  4.745e-01  4.965e+00  0.000e+00 -1.343e-02  4.879e-01  1.798e+00  2.038e+00  1.129e+00  0.000e+00
    560  5.65805e+00  4.647e-01  5.193e+00  0.000e+00 -2.202e-02  4.867e-01  2.009e+00  2.032e+00  1.153e+00  0.000e+00
    564  5.69018e+00  4.701e-01  5.220e+00  0.000e+00 -1.739e-02  4.875e-01  1.726e+00  2.364e+00  1.130e+00  0.000e+00
    568  5.92090e+00  4.623e-01  5.459e+00  0.000e+00 -2.445e-02  4.867e-01  1.958e+00  2.405e+00  1.096e+00  0.000e+00
    572  6.10014e+00  4.587e-01  5.641e+00  0.000e+00 -2.804e-02  4.867e-01  2.393e+00  2.132e+00  1.116e+00  0.000e+00
    576  4.93310e+00  4.495e-01  4.484e+00  0.000e+00 -3.462e-02  4.842e-01  1.464e+00  1.903e+00  1.116e+00  0.000e+00
    580  4.39553e+00  4.561e-01  3.939e+00  0.000e+00 -2.905e-02  4.851e-01  5.796e-01  2.246e+00  1.114e+00  0.000e+00
